@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB2"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050196
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0002071977779
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le          26658.8832
@ ALFA             %le       0.00034799894
@ ORBIT5           %le                  -0
@ GAMMATR          %le         53.60570838
@ Q1               %le               62.31
@ Q2               %le               60.32
@ DQ1              %le         2.000004327
@ DQ2              %le         2.000004327
@ DXMAX            %le         2.886807711
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         6010.066268
@ BETYMAX          %le         6010.066268
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.498432877
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %22s "Model creator for java"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "02/02/18"
@ TIME             %08s "17.23.32"
* NAME                                S                  L KEYWORD            PARENT                            K1L 
$ %s                                %le                %le %s                 %s                                %le 
 "MKI.A5R8.B2"                        0                  0 "TKICKER"           "MKIMA193"                          -0
 "MKI.B5R8.B2"                    3.964                  0 "TKICKER"           "MKIMA193"                          -0
 "MKI.C5R8.B2"                    7.928                  0 "TKICKER"           "MKIMA193"                          -0
 "MKI.D5R8.B2"                   11.892                  0 "TKICKER"           "MKIMA193"                          -0
 "BTVSI.C5R8.B2"                 14.872                  0 "INSTRUMENT"        "BTVSI084"                          -0
 "BPMYB.5R8.B2"                  16.238                  0 "MONITOR"           "BPMYB"                             -0
 "MQY.A5R8.B2"                   20.632                3.4 "QUADRUPOLE"        "MQY"                    0.01073232962
 "MQY.B5R8.B2"                   24.413                3.4 "QUADRUPOLE"        "MQY"                    0.01073232962
 "BTVSS.6R8.B2"                  43.769                  0 "INSTRUMENT"        "BTVSS074"                          -0
 "MSIA.EXIT.B2"                  44.519                  0 "MARKER"            "OMK"                               -0
 "MSIA.A6R8.B2"                  48.519                  4 "TKICKER"           "MSIA"                              -0
 "MSIA.B6R8.B2"                  52.969                  4 "TKICKER"           "MSIA"                              -0
 "MSIB.A6R8.B2"                  57.419                  4 "TKICKER"           "MSIB"                              -0
 "MSIB.B6R8.B2"                  61.869                  4 "TKICKER"           "MSIB"                              -0
 "MSIB.C6R8.B2"                  66.319                  4 "TKICKER"           "MSIB"                              -0
